# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	330 nm	340 nm	350 nm	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	840 nm	850 nm	
1.000000E2	2.292995E18	3.561903E18	4.231872E18	4.749522E18	5.219401E18	5.489669E18	5.900810E18	6.405331E18	7.000234E18	7.587354E18	8.019724E18	8.339202E18	8.595363E18	8.812706E18	9.009411E18	9.205426E18	9.391754E18	9.561853E18	9.693572E18	9.774375E18	9.732274E18	9.591358E18	9.385960E18	9.138533E18	8.878941E18	8.686931E18	8.603954E18	8.541298E18	8.421930E18	8.184120E18	7.862399E18	7.502034E18	7.180919E18	6.918610E18	6.707720E18	6.604353E18	6.463758E18	6.406181E18	6.318681E18	6.234462E18	6.188823E18	6.135677E18	6.024490E18	5.616255E18	4.489885E18	2.847815E18	1.238007E18	3.665413E17	9.376948E16	2.375396E16	6.163940E15	1.632446E15	4.492504E14
1.100000E2	1.900894E18	2.971383E18	3.486780E18	3.895107E18	4.291995E18	4.509163E18	4.878536E18	5.355567E18	5.953341E18	6.546198E18	7.002261E18	7.355411E18	7.636428E18	7.867719E18	8.067088E18	8.262720E18	8.454806E18	8.644826E18	8.813353E18	8.947858E18	8.986630E18	8.929910E18	8.801842E18	8.624214E18	8.423361E18	8.272170E18	8.212383E18	8.168112E18	8.072032E18	7.868054E18	7.584028E18	7.260468E18	6.969460E18	6.730232E18	6.537268E18	6.444266E18	6.315516E18	6.264514E18	6.185105E18	6.108340E18	6.067873E18	6.020096E18	5.917013E18	5.529760E18	4.447018E18	2.839365E18	1.237516E18	3.665259E17	9.376889E16	2.375393E16	6.163938E15	1.632446E15	4.492504E14
1.200000E2	1.576918E18	2.480500E18	2.874925E18	3.196588E18	3.531528E18	3.705987E18	4.035540E18	4.479947E18	5.064936E18	5.649695E18	6.115529E18	6.489188E18	6.785891E18	7.025433E18	7.224701E18	7.417957E18	7.612753E18	7.817140E18	8.014383E18	8.192437E18	8.299126E18	8.314897E18	8.254731E18	8.139363E18	7.991577E18	7.877570E18	7.838959E18	7.811538E18	7.736959E18	7.564459E18	7.315760E18	7.026920E18	6.764467E18	6.547231E18	6.371403E18	6.288325E18	6.170946E18	6.126259E18	6.054640E18	5.985066E18	5.949589E18	5.907001E18	5.811768E18	5.444914E18	4.404815E18	2.831016E18	1.237029E18	3.665106E17	9.376830E16	2.375390E16	6.163936E15	1.632446E15	4.492504E14
1.300000E2	1.309457E18	2.072793E18	2.372926E18	2.626006E18	2.908421E18	3.048554E18	3.340843E18	3.749998E18	4.311369E18	4.878035E18	5.342975E18	5.726686E18	6.031681E18	6.274854E18	6.471815E18	6.661123E18	6.856145E18	7.070243E18	7.289296E18	7.502111E18	7.665315E18	7.743119E18	7.742326E18	7.682324E18	7.582370E18	7.502169E18	7.482855E18	7.470849E18	7.416095E18	7.272855E18	7.057238E18	6.801130E18	6.565752E18	6.369460E18	6.210008E18	6.136428E18	6.029965E18	5.991341E18	5.927222E18	5.864582E18	5.833919E18	5.796345E18	5.708717E18	5.361693E18	4.363269E18	2.822768E18	1.236548E18	3.664954E17	9.376771E16	2.375387E16	6.163934E15	1.632446E15	4.492504E14
1.400000E2	1.088924E18	1.734592E18	1.961602E18	2.160527E18	2.398438E18	2.511009E18	2.768916E18	3.141986E18	3.672577E18	4.214165E18	4.670174E18	5.055718E18	5.363089E18	5.606182E18	5.799103E18	5.983247E18	6.176490E18	6.396416E18	6.631410E18	6.871393E18	7.081095E18	7.211604E18	7.262473E18	7.251536E18	7.194582E18	7.145052E18	7.143285E18	7.145353E18	7.108850E18	6.992779E18	6.808118E18	6.582850E18	6.373129E18	6.196778E18	6.052970E18	5.988479E18	5.892490E18	5.859688E18	5.802787E18	5.746831E18	5.720814E18	5.688083E18	5.607820E18	5.280070E18	4.322373E18	2.814622E18	1.236071E18	3.664804E17	9.376712E16	2.375384E16	6.163932E15	1.632445E15	4.492503E14
1.500000E2	9.074176E17	1.454555E18	1.625234E18	1.781518E18	1.981743E18	2.072213E18	2.298742E18	2.636140E18	3.131555E18	3.643417E18	4.084565E18	4.465560E18	4.770627E18	5.010691E18	5.198231E18	5.376293E18	5.566160E18	5.788693E18	6.034658E18	6.295273E18	6.542687E18	6.717588E18	6.813154E18	6.845526E18	6.827119E18	6.805348E18	6.819500E18	6.834388E18	6.814662E18	6.723787E18	6.568067E18	6.371839E18	6.186420E18	6.029045E18	5.900178E18	5.844383E18	5.758441E18	5.731227E18	5.681272E18	5.631761E18	5.610222E18	5.582169E18	5.509039E18	5.200022E18	4.282122E18	2.806576E18	1.235599E18	3.664654E17	9.376654E16	2.375380E16	6.163930E15	1.632445E15	4.492503E14
1.500000E2	1.610302E18	2.762514E18	3.057083E18	3.370971E18	3.775188E18	3.953069E18	4.403369E18	5.068208E18	6.049186E18	7.049324E18	7.920981E18	8.674602E18	9.282163E18	9.747240E18	1.011680E19	1.046970E19	1.086331E19	1.129056E19	1.177597E19	1.231264E19	1.282910E19	1.314925E19	1.334972E19	1.343676E19	1.342734E19	1.338950E19	1.343320E19	1.344840E19	1.339074E19	1.323725E19	1.291878E19	1.255775E19	1.220161E19	1.189516E19	1.167849E19	1.154576E19	1.140656E19	1.135493E19	1.125636E19	1.116285E19	1.112222E19	1.106882E19	1.092281E19	1.030864E19	8.496770E18	5.588164E18	2.467430E18	7.325402E17	1.874800E17	4.749776E16	1.232577E16	3.264438E15	8.984017E14
1.600000E2	1.134441E18	1.920889E18	2.082642E18	2.272678E18	2.557157E18	2.671561E18	3.013447E18	3.546912E18	4.378492E18	5.252788E18	6.043454E18	6.753110E18	7.329753E18	7.773017E18	8.113931E18	8.435720E18	8.799044E18	9.224376E18	9.728883E18	1.030873E19	1.092622E19	1.139109E19	1.173334E19	1.195989E19	1.207737E19	1.213526E19	1.223176E19	1.229417E19	1.229841E19	1.223060E19	1.201831E19	1.175999E19	1.149248E19	1.125629E19	1.109178E19	1.099413E19	1.089018E19	1.085967E19	1.078753E19	1.071812E19	1.069446E19	1.065884E19	1.054001E19	9.997658E18	8.339566E18	5.556582E18	2.465570E18	7.324807E17	1.874776E17	4.749763E16	1.232576E16	3.264437E15	8.984016E14
1.700000E2	7.992015E17	1.335673E18	1.418803E18	1.532219E18	1.732113E18	1.805493E18	2.062253E18	2.482255E18	3.169219E18	3.914103E18	4.610961E18	5.257243E18	5.788012E18	6.198657E18	6.507581E18	6.796885E18	7.127032E18	7.536305E18	8.037653E18	8.630965E18	9.305595E18	9.868016E18	1.031270E19	1.064539E19	1.086323E19	1.099868E19	1.113800E19	1.123928E19	1.129555E19	1.130100E19	1.118132E19	1.101387E19	1.082579E19	1.065319E19	1.053620E19	1.047067E19	1.039913E19	1.038807E19	1.034040E19	1.029338E19	1.028551E19	1.026645E19	1.017313E19	9.698599E18	8.187337E18	5.525795E18	2.463747E18	7.324220E17	1.874753E17	4.749751E16	1.232576E16	3.264437E15	8.984016E14
1.800000E2	5.630291E17	9.287483E17	9.665620E17	1.033008E18	1.173262E18	1.220187E18	1.411304E18	1.737170E18	2.293928E18	2.916585E18	3.518015E18	4.092722E18	4.570562E18	4.943170E18	5.219247E18	5.476432E18	5.772738E18	6.157154E18	6.640420E18	7.226258E18	7.925348E18	8.548597E18	9.064084E18	9.475433E18	9.771265E18	9.968727E18	1.014227E19	1.027521E19	1.037486E19	1.044261E19	1.040338E19	1.031611E19	1.019906E19	1.008395E19	1.001020E19	9.974024E18	9.932270E18	9.939113E18	9.914076E18	9.887844E18	9.894635E18	9.891030E18	9.821599E18	9.411111E18	8.039993E18	5.495800E18	2.461961E18	7.323641E17	1.874730E17	4.749738E16	1.232575E16	3.264436E15	8.984015E14
