# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
2.000000E2	2.439798E16	2.620850E16	2.581878E16	3.039163E16	4.306192E16	7.351982E16	1.119925E17	1.802798E17	2.796757E17	3.862488E17	4.810035E17	5.594407E17	6.123050E17	6.682456E17	7.456786E17	8.749524E17	1.056025E18	1.316146E18	1.709807E18	2.138679E18	2.567582E18	2.976037E18	3.332350E18	3.624992E18	3.862071E18	4.100011E18	4.377657E18	4.690140E18	4.991831E18	5.179703E18	5.193445E18	5.034025E18	4.811972E18	4.633498E18	4.620662E18	4.800214E18	5.056604E18	5.388099E18	5.854950E18	6.277089E18	6.524201E18	6.506118E18	6.417033E18	5.862452E18	2.943096E18	5.719500E17	5.564412E16	2.977803E15
2.100000E2	1.663560E16	1.785614E16	1.752012E16	2.075986E16	2.993932E16	5.262227E16	8.196944E16	1.355101E17	2.155987E17	3.033647E17	3.825508E17	4.486810E17	4.933556E17	5.408697E17	6.071963E17	7.192465E17	8.782338E17	1.110077E18	1.467313E18	1.863537E18	2.267604E18	2.663704E18	3.023067E18	3.322625E18	3.556326E18	3.783560E18	4.046095E18	4.333365E18	4.588683E18	4.711950E18	4.669224E18	4.516733E18	4.383850E18	4.370468E18	4.551514E18	4.915351E18	5.278153E18	5.665847E18	6.112840E18	6.469102E18	6.694513E18	6.856855E18	6.915144E18	5.718996E18	2.440972E18	3.874538E17	2.669641E16	4.455179E14
2.200000E2	1.134288E16	1.216559E16	1.188882E16	1.418060E16	2.081567E16	3.766472E16	5.999498E16	1.018583E17	1.662027E17	2.382666E17	3.042480E17	3.598455E17	3.975080E17	4.377658E17	4.944216E17	5.912315E17	7.303406E17	9.362019E17	1.259154E18	1.624341E18	2.005271E18	2.390114E18	2.749086E18	3.045362E18	3.264593E18	3.471750E18	3.709684E18	3.962568E18	4.169897E18	4.247787E18	4.196764E18	4.112837E18	4.118762E18	4.287757E18	4.633950E18	5.115022E18	5.519229E18	5.895186E18	6.248349E18	6.483423E18	6.649676E18	6.927236E18	6.991251E18	5.170815E18	1.833488E18	2.194286E17	7.559239E15	4.262222E14
2.300000E2	7.734071E15	8.288551E15	8.067522E15	9.686459E15	1.447234E16	2.695876E16	4.391146E16	7.656348E16	1.281239E17	1.871371E17	2.419703E17	2.885947E17	3.202775E17	3.543125E17	4.025887E17	4.859966E17	6.073504E17	7.895791E17	1.080744E18	1.416951E18	1.776265E18	2.149130E18	2.501341E18	2.783612E18	2.980421E18	3.162915E18	3.373113E18	3.592114E18	3.763558E18	3.828069E18	3.820534E18	3.852592E18	4.018561E18	4.351761E18	4.804436E18	5.317740E18	5.694729E18	5.996920E18	6.202011E18	6.283698E18	6.365635E18	6.681263E18	6.622405E18	4.300437E18	1.206862E18	9.008465E16	6.073552E14	2.922172E15
2.400000E2	5.273427E15	5.647082E15	5.474465E15	6.616608E15	1.006207E16	1.929590E16	3.213964E16	5.755020E16	9.876928E16	1.469785E17	1.924380E17	2.314495E17	2.580512E17	2.867697E17	3.278166E17	3.995034E17	5.051033E17	6.660191E17	9.280310E17	1.237321E18	1.575791E18	1.934060E18	2.271736E18	2.531442E18	2.702837E18	2.861663E18	3.047608E18	3.242069E18	3.399701E18	3.487422E18	3.566743E18	3.737954E18	4.053114E18	4.501574E18	4.984500E18	5.443460E18	5.733302E18	5.916094E18	5.947040E18	5.870624E18	5.858885E18	6.136066E18	5.858571E18	3.239901E18	6.500324E17	1.651841E16	6.703378E15	7.641326E15
2.500000E2	3.595653E15	3.847420E15	3.714866E15	4.519660E15	6.995775E15	1.381116E16	2.352361E16	4.325852E16	7.613980E16	1.154365E17	1.530438E17	1.856199E17	2.079177E17	2.321084E17	2.669423E17	3.284257E17	4.201230E17	5.619406E17	7.973683E17	1.081488E18	1.398936E18	1.738741E18	2.054714E18	2.287539E18	2.435957E18	2.577065E18	2.747521E18	2.932732E18	3.102654E18	3.245828E18	3.437188E18	3.741995E18	4.166507E18	4.661221E18	5.095937E18	5.428483E18	5.590249E18	5.631650E18	5.493854E18	5.281776E18	5.183716E18	5.359043E18	4.814473E18	2.150481E18	2.420243E17	8.452892E15	2.509077E16	1.403152E16
2.600000E2	2.451673E15	2.621290E15	2.520836E15	3.087281E15	4.863896E15	9.885426E15	1.721737E16	3.251589E16	5.869473E16	9.066285E16	1.217141E17	1.488678E17	1.675295E17	1.878744E17	2.173853E17	2.700197E17	3.494966E17	4.742668E17	6.854616E17	9.456991E17	1.241216E18	1.558555E18	1.848151E18	2.054915E18	2.187254E18	2.319705E18	2.486158E18	2.679150E18	2.884802E18	3.103669E18	3.408654E18	3.814629E18	4.288697E18	4.754958E18	5.075972E18	5.237305E18	5.255579E18	5.160093E18	4.888236E18	4.585302E18	4.423243E18	4.456696E18	3.650854E18	1.197918E18	4.072061E16	6.695220E16	5.348772E16	2.134507E16
2.700000E2	1.671658E15	1.785914E15	1.710591E15	2.108854E15	3.381682E15	7.075552E15	1.260170E16	2.444098E16	4.524643E16	7.120583E16	9.679954E16	1.193968E17	1.349926E17	1.520780E17	1.770396E17	2.220207E17	2.907827E17	4.003568E17	5.893818E17	8.266300E17	1.099093E18	1.391070E18	1.653288E18	1.839431E18	1.964961E18	2.098381E18	2.271906E18	2.486971E18	2.743283E18	3.041414E18	3.438003E18	3.893422E18	4.350145E18	4.722525E18	4.889416E18	4.869185E18	4.755762E18	4.552510E18	4.203435E18	3.868511E18	3.675702E18	3.557002E18	2.548231E18	5.269717E17	7.463993E16	1.842808E17	8.837029E16	2.872626E16
2.800000E2	1.139809E15	1.216763E15	1.160774E15	1.440512E15	2.351154E15	5.064366E15	9.223404E15	1.837133E16	3.487944E16	5.592515E16	7.698741E16	9.576416E16	1.087792E17	1.231064E17	1.441871E17	1.825614E17	2.419408E17	3.379643E17	5.066105E17	7.215883E17	9.703047E17	1.236070E18	1.473739E18	1.647580E18	1.775315E18	1.917314E18	2.105671E18	2.350693E18	2.660410E18	3.023998E18	3.471804E18	3.917101E18	4.296345E18	4.531266E18	4.535444E18	4.358208E18	4.148842E18	3.885467E18	3.527559E18	3.223279E18	3.038255E18	2.788226E18	1.677410E18	2.391859E17	3.388847E17	3.449263E17	1.254097E17	3.531144E16
2.900000E2	7.771719E14	8.289944E14	7.876787E14	9.839821E14	1.634668E15	3.624849E15	6.750767E15	1.380902E16	2.688796E16	4.392479E16	6.123264E16	7.681170E16	8.765697E16	9.965342E16	1.174281E17	1.501070E17	2.012768E17	2.852092E17	4.350802E17	6.286226E17	8.538626E17	1.094971E18	1.313832E18	1.484125E18	1.620393E18	1.774613E18	1.980273E18	2.254729E18	2.607729E18	3.008886E18	3.458296E18	3.838818E18	4.099199E18	4.182658E18	4.047670E18	3.766829E18	3.513817E18	3.247396E18	2.948422E18	2.730692E18	2.590978E18	2.257700E18	1.171602E18	3.772978E17	7.958370E17	5.276498E17	1.600096E17	4.033012E16
