# Depth (nm)	315.0 nm	325.0 nm	335.0 nm	345.0 nm	355.0 nm	365.0 nm	375.0 nm	385.0 nm	395.0 nm	405.0 nm	415.0 nm	425.0 nm	435.0 nm	445.0 nm	455.0 nm	465.0 nm	475.0 nm	485.0 nm	495.0 nm	505.0 nm	515.0 nm	525.0 nm	535.0 nm	545.0 nm	555.0 nm	565.0 nm	575.0 nm	585.0 nm	595.0 nm	605.0 nm	615.0 nm	625.0 nm	635.0 nm	645.0 nm	655.0 nm	665.0 nm	675.0 nm	685.0 nm	695.0 nm	705.0 nm	715.0 nm	725.0 nm	735.0 nm	745.0 nm	755.0 nm	765.0 nm	775.0 nm	785.0 nm	795.0 nm	805.0 nm	815.0 nm	825.0 nm	835.0 nm	845.0 nm
155.000000	23369947.238770	59725553.349609	85397127.240234	105229437.746094	145344404.718262	247252149.160156	389138756.900391	539196158.677246	942822463.571289	1803762955.629883	2309708742.364258	2594478368.256836	2931928270.034668	3816049571.102051	4401759295.597656	4761517166.275391	5223009489.600586	5516531448.683594	6119394426.307617	6487491144.613281	6696822471.093262	7173162303.039062	7421801487.627441	7388821557.187500	7420302589.888184	7426011694.881348	7544955448.862305	7767927515.321777	7670310946.797852	7632968837.082520	7148391349.302734	6466377539.185547	6012952951.490234	5600187874.250000	5213096867.575684	5397768239.987793	5554091405.268555	5286829033.814453	5531192561.451660	5909332367.526367	5592538539.695801	5131627514.585449	5436683452.651367	5078130046.113281	3527768066.978027	961011972.434082	640795704.044922	170395435.558105	33513262.659180	5725936.273926	797980.984375	101734.989746	13206.529297	1651.113770
156.000000	22421055.793945	57146991.812500	81543956.691895	100398082.645508	138821497.857910	236900457.809082	374406935.798340	521101782.539062	914944133.112793	1755732943.706543	2253498565.678711	2535530501.794434	2868922059.847656	3737393677.629395	4314541486.281738	4671290770.937500	5129416342.497070	5424193801.667969	6025149568.416992	6396438582.708008	6611262069.402344	7090021547.839844	7344983773.063477	7324644270.714844	7371758171.558105	7393113711.753906	7519324877.946289	7736942543.247559	7624518511.813965	7568335234.038086	7072445750.541992	6391099881.489258	5947041343.970703	5552331336.076172	5187591581.156250	5392471944.280762	5566703474.186035	5310571430.043457	5563624465.109375	5947746064.309082	5630390302.540039	5167274513.342773	5475584362.481445	5114940901.920410	3551137547.987305	964333118.623535	640241011.858887	169006989.283203	32930533.734863	5577831.449219	771797.470215	97805.340332	12666.675293	1591.875000
157.000000	21510705.987793	54679789.880371	77864664.088379	95788548.196777	132591385.862793	226982445.125488	360233515.356934	503615553.665039	887891410.256836	1708983123.592773	2198657282.110840	2477922632.015137	2807270316.937988	3660359184.332520	4229051262.554688	4582772190.491699	5037495488.825195	5333390634.108887	5932331913.123047	6306625696.063477	6526768891.603027	7007921034.928711	7269291130.820312	7261668972.345215	7324261143.437012	7360644334.500977	7493176098.450195	7704572211.715332	7577019714.178711	7502338508.575684	6996095916.227539	6316565079.145508	5882911315.263184	5506888014.844238	5164617819.392578	5389610801.605957	5581273349.254395	5335512743.228516	5596550905.618652	5985963694.135742	5667452223.620605	5201625684.828125	5512481471.998047	5149212094.940918	3572264976.224121	966933634.722168	639199137.307129	167502044.933594	32332033.943359	5428886.011230	745826.775879	93963.694824	12148.773926	1536.894043
158.000000	20637331.801758	52319136.839844	74351402.101562	91390649.979492	126640923.605957	217479930.400879	346597303.415039	486717000.757324	861639807.061523	1663479341.065918	2145151536.932129	2421624284.201660	2746943891.190918	3584912603.011719	4145254314.011719	4495928991.634766	4947216952.511719	5244096516.202637	5840920694.498047	6218038765.484375	6443337380.232422	6926862154.090820	7194723853.453613	7199878690.446777	7277763733.421387	7328529848.901367	7466437083.975098	7670780937.357910	7527840344.581055	7435063878.659180	6919460486.692871	6242889849.505371	5820652189.681152	5463901821.106934	5144169537.743164	5389132910.410156	5597713909.227051	5361552439.755371	5629859941.856934	6023867262.899414	5703617917.547852	5234589833.850098	5547284996.768555	5180867651.871582	3591107223.167969	968808512.192383	637671840.205078	165883141.620605	31718722.492188	5279327.503906	720107.035645	90215.490234	11653.532227	1486.240234
159.000000	19799430.865723	50060429.856445	70996677.601562	87194671.169434	120957556.223633	208375495.599121	333477913.086426	470386342.687988	836165563.049316	1619188353.961426	2092948788.266113	2366605675.881836	2687914258.995605	3511021138.059082	4063117016.404785	4410729368.522461	4858551320.764160	5156286494.096191	5750895557.765137	6130664372.534668	6360962031.641602	6846845762.490234	7121280749.877441	7139254211.322754	7232216270.281250	7296696629.383301	7439038795.899414	7635538477.557129	7477011954.379395	7366600836.017578	6842659371.330566	6170189016.590820	5760348848.771973	5423410910.279785	5126234946.076172	5390981134.756836	5615934087.170898	5388587789.785156	5663438984.112305	6061339554.904297	5738782895.277832	5266078550.911621	5579909223.984375	5209836566.086426	3607625416.702637	969954060.517090	635661740.471680	164153012.173828	31091582.482910	5129384.419434	694676.020020	86566.021484	11181.621094	1439.986816
160.000000	18995561.879395	47899265.001465	67793335.675293	83191341.073730	115529292.604492	199652453.347656	320855732.129883	454604465.199219	811445623.570801	1576077807.785156	2042017287.257324	2312837701.134277	2630153509.936523	3438652672.432617	3982606418.309082	4327142131.054688	4771469733.789551	5069936080.454590	5662236547.255859	6044489379.325195	6279637362.178711	6767872139.176758	7048959120.268555	7079774131.888672	7187567350.592285	7265071386.094238	7410915406.913086	7598820022.474121	7424571757.064453	7297042884.116211	6765813413.180664	6098575203.005371	5702081512.131836	5385447586.891602	5110796535.247559	5395093234.224609	5635839071.860352	5416514088.268066	5697175029.714355	6098264372.196777	5772844772.909668	5296006385.249023	5610272677.232910	5236052931.981934	3621785013.509766	970367913.939941	633172313.532227	162314578.524414	30451619.312500	4979285.857422	669571.072754	83020.448730	10733.687012	1398.189941
161.000000	18224342.118652	45831428.640625	64734544.349121	79371814.643066	110344680.067383	191294816.263184	308711893.470703	439352898.378418	787457618.794434	1534116211.974609	1992326058.708008	2260291915.229492	2573634333.746582	3367775753.896973	3903690228.023438	4245136693.309570	4685943874.557129	4985021244.946289	5574924094.149414	5959500908.173828	6199357874.998047	6689940942.448730	6977754737.210449	7021414920.877930	7143764012.109863	7233581410.901855	7382004513.949219	7560606269.857422	7370562512.532227	7226487264.435547	6689044050.958984	6028158527.651855	5645925530.129883	5350038223.223145	5097831117.248047	5401402005.525391	5657330517.547363	5445224880.261719	5730954899.503418	6134526771.808594	5805703476.253906	5324291012.083496	5638298273.126465	5259456069.582031	3633555863.379395	970049035.781738	630207884.208008	160370946.757812	29799859.072266	4829261.157715	644829.060547	79583.782227	10310.345215	1360.905273
162.000000	17484445.063477	43852889.220703	61813780.019043	75727652.930176	105392780.187500	183287267.570312	297028246.856934	424613794.911133	764179843.334961	1493272916.797363	1943844882.206055	2208940519.648438	2518330007.559570	3298359581.550293	3826336800.705078	4164683062.157227	4601945958.649902	4901518404.697266	5488939004.064941	5875686321.217285	6120118027.641113	6613051170.222168	6907661833.204590	6964150988.343262	7100751912.988281	7202154821.492188	7352247339.787598	7520883482.374512	7315032394.542480	7155034671.879883	6612472979.353516	5959046310.107910	5591951189.104980	5317203192.605957	5087309878.866699	5409835435.542969	5680306761.579102	5474612190.032715	5764665474.729492	6170013300.494629	5837261440.815430	5350853393.739258	5663913469.485840	5279990639.354492	3642912265.373535	968997720.373047	626773619.096680	158325401.848145	29137346.898926	4679539.572266	620486.325684	76260.888184	9912.166504	1328.185547
163.000000	16774598.107910	41959789.391113	59024813.527344	72250804.446289	100663145.695312	175615132.954590	285787331.592773	410369909.060059	741591236.485352	1453518090.871094	1896544273.712402	2158756347.433594	2464214383.426758	3230373992.604004	3750515125.719727	4085751826.016113	4519448724.174316	4819404414.688477	5404262444.509277	5793033200.052734	6041912200.500488	6537201123.573730	6838673094.580078	6907954763.175781	7058475516.152832	7170720802.687012	7321588922.676758	7479643527.307129	7258034841.734375	7082788960.159668	6536221808.614746	5891342782.468750	5540223529.477539	5286956817.476074	5079198448.734863	5420316865.425781	5704663049.388184	5504566753.438477	5798193933.778320	6204612226.364746	5867423806.734375	5375617934.355469	5687050404.781250	5297606746.879395	3649833015.710938	967215592.545410	622875517.456055	156181402.122559	28465145.294434	4530349.895996	596578.619629	73056.460938	9539.704102	1300.071289
164.000000	16093580.366211	40148438.477051	56361696.871094	68933587.368652	96145798.417480	168264353.595703	274972350.299805	396604576.349121	719671363.032715	1414822699.282227	1850395467.597168	2109712848.879395	2411261876.104980	3163789449.424316	3676194814.216797	4008314143.761230	4438425421.735840	4738656558.125488	5320875932.218750	5711529325.456055	5964734666.300781	6462388373.589844	6770779661.810547	6852796778.368652	7016878278.194336	7139209844.162109	7289978293.335938	7436883898.427734	7199628392.651367	7009856837.942383	6460411724.315918	5825148809.363281	5490802177.326172	5259307332.359375	5073456977.580566	5432765165.335938	5730291766.430176	5534978253.126953	5831427988.339844	6238213767.036133	5896098608.327148	5398512627.820801	5707646028.601074	5312260037.211426	3654301447.259277	964705604.701172	618520400.614258	153942573.359863	27784332.428711	4381920.119629	573141.058594	69975.036133	9193.460938	1276.598633
