# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
2.000000E2	2.425091E16	2.604982E16	2.565913E16	3.021007E16	4.282891E16	7.318459E16	1.115503E17	1.796886E17	2.789210E17	3.853596E17	4.800147E17	5.583783E17	6.111989E17	6.670981E17	7.444773E17	8.736714E17	1.054646E18	1.314604E18	1.708179E18	2.138710E18	2.574317E18	2.996182E18	3.360469E18	3.634329E18	3.833332E18	4.029954E18	4.260335E18	4.514871E18	4.766149E18	4.970883E18	5.133009E18	5.247309E18	5.335468E18	5.407369E18	5.469587E18	5.527691E18	5.574730E18	5.615600E18	5.657566E18	5.681648E18	5.677673E18	5.500886E18	4.787388E18	3.277953E18	1.380842E18	3.952945E17	1.010841E17	2.559143E16
2.100000E2	1.653533E16	1.774803E16	1.741179E16	2.063584E16	2.977731E16	5.238233E16	8.164575E16	1.350657E17	2.150165E17	3.026645E17	3.817610E17	4.478271E17	4.924670E17	5.399483E17	6.062326E17	7.182254E17	8.771671E17	1.109004E18	1.466740E18	1.865706E18	2.276624E18	2.681047E18	3.034929E18	3.303048E18	3.498293E18	3.692692E18	3.923659E18	4.183861E18	4.446403E18	4.665120E18	4.843040E18	4.970548E18	5.070311E18	5.151950E18	5.219962E18	5.285336E18	5.340133E18	5.388714E18	5.436200E18	5.467612E18	5.476531E18	5.344267E18	4.716514E18	3.266645E18	1.380360E18	3.952820E17	1.010837E17	2.559141E16
2.200000E2	1.127451E16	1.209193E16	1.181530E16	1.409589E16	2.070303E16	3.749298E16	5.975805E16	1.015242E17	1.657534E17	2.377151E17	3.036187E17	3.591636E17	3.968001E17	4.370334E17	4.936590E17	5.904368E17	7.295550E17	9.355598E17	1.259426E18	1.627551E18	2.013358E18	2.399060E18	2.740929E18	3.001972E18	3.192548E18	3.383672E18	3.613615E18	3.877163E18	4.148185E18	4.378287E18	4.569634E18	4.708624E18	4.818628E18	4.908947E18	4.982118E18	5.054042E18	5.115892E18	5.171527E18	5.224064E18	5.262251E18	5.283186E18	5.192926E18	4.647452E18	3.255567E18	1.379887E18	3.952695E17	1.010832E17	2.559138E16
2.300000E2	7.687453E15	8.238367E15	8.017637E15	9.628592E15	1.439403E16	2.683583E16	4.373804E16	7.631222E16	1.277771E17	1.867033E17	2.414713E17	2.880542E17	3.197174E17	3.537342E17	4.019896E17	4.853848E17	6.067834E17	7.892415E17	1.081415E18	1.419797E18	1.780535E18	2.146733E18	2.475415E18	2.728348E18	2.913537E18	3.100530E18	3.328099E18	3.592996E18	3.870050E18	4.109221E18	4.311854E18	4.460755E18	4.579751E18	4.677774E18	4.755518E18	4.833326E18	4.901572E18	4.963647E18	5.020800E18	5.065237E18	5.097364E18	5.046712E18	4.580178E18	3.244717E18	1.379421E18	3.952572E17	1.010828E17	2.559136E16
2.400000E2	5.241641E15	5.612891E15	5.440613E15	6.577080E15	1.000762E16	1.920791E16	3.201269E16	5.736125E16	9.850165E16	1.466382E17	1.920447E17	2.310234E17	2.576089E17	2.863119E17	3.273427E17	3.990238E17	5.046721E17	6.658068E17	9.285648E17	1.238562E18	1.574637E18	1.920948E18	2.235626E18	2.479674E18	2.658924E18	2.841100E18	3.065173E18	3.329708E18	3.610653E18	3.856829E18	4.068820E18	4.226203E18	4.353045E18	4.457873E18	4.539652E18	4.622726E18	4.696757E18	4.764700E18	4.826060E18	4.876259E18	4.918798E18	4.905482E18	4.514664E18	3.234095E18	1.378964E18	3.952451E17	1.010824E17	2.559134E16
2.500000E2	3.573980E15	3.824125E15	3.691895E15	4.492660E15	6.957920E15	1.374818E16	2.343069E16	4.311646E16	7.593362E16	1.151708E17	1.527353E17	1.852840E17	2.075656E17	2.317405E17	2.665572E17	3.280284E17	4.197445E17	5.616769E17	7.973187E17	1.080462E18	1.392549E18	1.718912E18	2.019070E18	2.253675E18	2.426576E18	2.603399E18	2.823051E18	3.085770E18	3.368737E18	3.620087E18	3.839701E18	4.004265E18	4.137906E18	4.248715E18	4.334031E18	4.421800E18	4.501050E18	4.574328E18	4.639516E18	4.695017E18	4.747235E18	4.769095E18	4.450886E18	3.223700E18	1.378516E18	3.952330E17	1.010819E17	2.559132E16
2.600000E2	2.436895E15	2.605419E15	2.505249E15	3.068837E15	4.837577E15	9.840348E15	1.714936E16	3.240915E16	5.853622E16	9.045604E16	1.214720E17	1.486003E17	1.672438E17	1.875704E17	2.170592E17	2.696647E17	3.491087E17	4.738326E17	6.846234E17	9.425431E17	1.231519E18	1.538128E18	1.823498E18	2.048284E18	2.214548E18	2.385609E18	2.600092E18	2.859763E18	3.143132E18	3.398035E18	3.623713E18	3.794281E18	3.933765E18	4.049796E18	4.138191E18	4.230129E18	4.314071E18	4.392189E18	4.460849E18	4.521223E18	4.582431E18	4.637418E18	4.388819E18	3.213531E18	1.378075E18	3.952212E17	1.010815E17	2.559130E16
2.700000E2	1.661582E15	1.775101E15	1.700013E15	2.096256E15	3.363383E15	7.043290E15	1.255194E16	2.436083E16	4.512479E16	7.104488E16	9.660805E16	1.191795E17	1.347549E17	1.518192E17	1.767527E17	2.216853E17	2.903597E17	3.997268E17	5.878568E17	8.222296E17	1.089110E18	1.376361E18	1.646876E18	1.861625E18	2.021065E18	2.186065E18	2.394781E18	2.650374E18	2.932744E18	3.189771E18	3.420117E18	3.595623E18	3.740077E18	3.860637E18	3.951691E18	4.047311E18	4.135458E18	4.217954E18	4.289757E18	4.354601E18	4.424150E18	4.510320E18	4.328439E18	3.203587E18	1.377643E18	3.952095E17	1.010811E17	2.559127E16
2.800000E2	1.132939E15	1.209396E15	1.153596E15	1.431906E15	2.338433E15	5.041279E15	9.186997E15	1.831119E16	3.478610E16	5.579921E16	7.683344E16	9.558364E16	1.085773E17	1.228823E17	1.439308E17	1.822424E17	2.414971E17	3.372109E17	5.047675E17	7.172741E17	9.631706E17	1.231610E18	1.487369E18	1.691989E18	1.844505E18	2.003239E18	2.205724E18	2.456387E18	2.736555E18	2.994451E18	3.228218E18	3.407698E18	3.556329E18	3.680781E18	3.774110E18	3.872964E18	3.964865E18	4.051311E18	4.125949E18	4.194887E18	4.272169E18	4.387676E18	4.269723E18	3.193868E18	1.377219E18	3.951979E17	1.010806E17	2.559125E16
2.900000E2	7.724871E14	8.239750E14	7.828081E14	9.781038E14	1.625823E15	3.608327E15	6.724135E15	1.376389E16	2.681615E16	4.382513E16	6.110648E16	7.665940E16	8.748504E16	9.946073E16	1.172038E17	1.498174E17	2.008573E17	2.844723E17	4.334224E17	6.257163E17	8.517953E17	1.102087E18	1.343320E18	1.537825E18	1.683391E18	1.835733E18	2.031639E18	2.276675E18	2.553616E18	2.811282E18	3.047358E18	3.229946E18	3.382031E18	3.509795E18	3.605047E18	3.706722E18	3.801961E18	3.891959E18	3.969147E18	4.041829E18	4.126269E18	4.269364E18	4.212649E18	3.184374E18	1.376803E18	3.951865E17	1.010802E17	2.559123E16
3.000000E2	5.267155E14	5.613834E14	5.311984E14	6.681213E14	1.130373E15	2.582682E15	4.921520E15	1.034584E16	2.067221E16	3.442060E16	4.859865E16	6.148190E16	7.049014E16	8.050337E16	9.543978E16	1.231615E17	1.670565E17	2.399819E17	3.721615E17	5.458460E17	7.533001E17	9.861886E17	1.213231E18	1.397724E18	1.536374E18	1.682268E18	1.871344E18	2.110192E18	2.383040E18	2.639521E18	2.876919E18	3.061835E18	3.216721E18	3.347267E18	3.444120E18	3.548239E18	3.646429E18	3.739611E18	3.819085E18	3.895182E18	3.986245E18	4.155268E18	4.157194E18	3.175102E18	1.376395E18	3.951752E17	1.010798E17	2.559121E16
