#Comments Cs2AgBiBr6 thin films of 100 nm at room temperature		
"#Reference H. J. Jöbsis, V. M. Caselli, S. H. C. Askes, E. C. Garnett, T. J. Savenije, F. T. Rabouw, E. M. Hutter. Recombination and localization: Unfolding the pathways behind conductivity losses in Cs2AgBiBr6 thin films. Appl. Phys. Lett. 119, 131908 (2021) (Numerical data kindly provided by Huygen Jöbsis)"		
#https://refractiveindex.info/?shelf=other&book=Cs2AgBiBr6&page=Jobsis		
#wl (nm)	#n	#k
1338.000000	1.952273	0.000838
1340.000000	1.952193	0.000836
1342.000000	1.952113	0.000834
1344.000000	1.952034	0.000832
1346.000000	1.951955	0.000830
1348.000000	1.951877	0.000829
1350.000000	1.951799	0.000827
1352.000000	1.951721	0.000825
1354.000000	1.951644	0.000823
1356.000000	1.951567	0.000822
1358.000000	1.951491	0.000820
1360.000000	1.951414	0.000818
1362.000000	1.951339	0.000816
1364.000000	1.951263	0.000815
1366.000000	1.951188	0.000813
1368.000000	1.951113	0.000811
1370.000000	1.951039	0.000810
1372.000000	1.950965	0.000808
1374.000000	1.950891	0.000806
1376.000000	1.950818	0.000805
1378.000000	1.950745	0.000803
1380.000000	1.950672	0.000801
1382.000000	1.950600	0.000800
1384.000000	1.950528	0.000798
1386.000000	1.950456	0.000796
1388.000000	1.950385	0.000795
1390.000000	1.950314	0.000793
1392.000000	1.950243	0.000792
1394.000000	1.950173	0.000790
1396.000000	1.950103	0.000788
1398.000000	1.950033	0.000787
1400.000000	1.949964	0.000785
1402.000000	1.949895	0.000784
1404.000000	1.949826	0.000782
1406.000000	1.949757	0.000781
1408.000000	1.949689	0.000779
1410.000000	1.949621	0.000777
1412.000000	1.949554	0.000776
1414.000000	1.949487	0.000774
1416.000000	1.949420	0.000773
1418.000000	1.949353	0.000771
1420.000000	1.949287	0.000770
1422.000000	1.949221	0.000768
1424.000000	1.949155	0.000767
1426.000000	1.949090	0.000765
1428.000000	1.949025	0.000764
1430.000000	1.948960	0.000762
1432.000000	1.948895	0.000761
1434.000000	1.948831	0.000759
1436.000000	1.948767	0.000758
1438.000000	1.948703	0.000756
1440.000000	1.948640	0.000755
1442.000000	1.948577	0.000754
1444.000000	1.948514	0.000752
1446.000000	1.948451	0.000751
1448.000000	1.948389	0.000749
1450.000000	1.948327	0.000748
1452.000000	1.948265	0.000746
1454.000000	1.948204	0.000745
1456.000000	1.948143	0.000744
1458.000000	1.948082	0.000742
1460.000000	1.948021	0.000741
1462.000000	1.947961	0.000739
1464.000000	1.947901	0.000738
1466.000000	1.947841	0.000737
1468.000000	1.947781	0.000735
1470.000000	1.947722	0.000734
1472.000000	1.947662	0.000733
1474.000000	1.947604	0.000731
1476.000000	1.947545	0.000730
1478.000000	1.947487	0.000729
1480.000000	1.947429	0.000727
1482.000000	1.947371	0.000726
1484.000000	1.947313	0.000725
1486.000000	1.947256	0.000723
1488.000000	1.947199	0.000722
1490.000000	1.947142	0.000721
1492.000000	1.947085	0.000719
1494.000000	1.947029	0.000718
1496.000000	1.946973	0.000717
1498.000000	1.946917	0.000715
1500.000000	1.946861	0.000714
1502.000000	1.946806	0.000713
1504.000000	1.946750	0.000712
1506.000000	1.946695	0.000710
1508.000000	1.946641	0.000709
1510.000000	1.946586	0.000708
1512.000000	1.946532	0.000706
1514.000000	1.946478	0.000705
1516.000000	1.946424	0.000704
1518.000000	1.946370	0.000703
1520.000000	1.946317	0.000702
1522.000000	1.946264	0.000700
1524.000000	1.946211	0.000699
1526.000000	1.946158	0.000698
1528.000000	1.946106	0.000697
1530.000000	1.946054	0.000695
1532.000000	1.946001	0.000694
1534.000000	1.945950	0.000693
1536.000000	1.945898	0.000692
1538.000000	1.945847	0.000691
1540.000000	1.945795	0.000689
1542.000000	1.945744	0.000688
1544.000000	1.945693	0.000687
1546.000000	1.945643	0.000686
1548.000000	1.945593	0.000685
1550.000000	1.945542	0.000683
1552.000000	1.945492	0.000682
1554.000000	1.945443	0.000681
1556.000000	1.945393	0.000680
1558.000000	1.945344	0.000679
1560.000000	1.945295	0.000678
1562.000000	1.945246	0.000677
1564.000000	1.945197	0.000675
1566.000000	1.945148	0.000674
1568.000000	1.945100	0.000673
1570.000000	1.945052	0.000672
1572.000000	1.945004	0.000671
1574.000000	1.944956	0.000670
1576.000000	1.944908	0.000669
1578.000000	1.944861	0.000668
1580.000000	1.944814	0.000666
1582.000000	1.944767	0.000665
1584.000000	1.944720	0.000664
1586.000000	1.944673	0.000663
1588.000000	1.944627	0.000662
1590.000000	1.944580	0.000661
1592.000000	1.944534	0.000660
1594.000000	1.944488	0.000659
1596.000000	1.944443	0.000658
1598.000000	1.944397	0.000657
1600.000000	1.944352	0.000656
1602.000000	1.944306	0.000654
1604.000000	1.944262	0.000653
1606.000000	1.944217	0.000652
1608.000000	1.944172	0.000651
1610.000000	1.944127	0.000650
1612.000000	1.944083	0.000649
1614.000000	1.944039	0.000648
1616.000000	1.943995	0.000647
1618.000000	1.943951	0.000646
1620.000000	1.943908	0.000645
1622.000000	1.943864	0.000644
1624.000000	1.943821	0.000643
1626.000000	1.943778	0.000642
1628.000000	1.943735	0.000641
1630.000000	1.943692	0.000640
1632.000000	1.943649	0.000639
1634.000000	1.943607	0.000638
1636.000000	1.943565	0.000637
1638.000000	1.943522	0.000636
1640.000000	1.943480	0.000635
1642.000000	1.943439	0.000634
1644.000000	1.943397	0.000633
1646.000000	1.943355	0.000632
1648.000000	1.943314	0.000631
1650.000000	1.943273	0.000630
1652.000000	1.943232	0.000629
1654.000000	1.943191	0.000628
1656.000000	1.943150	0.000627
1658.000000	1.943110	0.000626
1660.000000	1.943069	0.000625
1662.000000	1.943029	0.000624
1664.000000	1.942989	0.000623
1666.000000	1.942949	0.000622
1668.000000	1.942909	0.000621
1670.000000	1.942869	0.000620
1672.000000	1.942830	0.000619
1674.000000	1.942791	0.000618
1676.000000	1.942751	0.000618
1678.000000	1.942712	0.000617
1680.000000	1.942673	0.000616
1682.000000	1.942635	0.000615
1684.000000	1.942596	0.000614
1686.000000	1.942557	0.000613
1688.000000	1.942519	0.000612
1690.000000	1.942481	0.000611
1692.000000	1.942443	0.000610
1694.000000	1.942405	0.000609
1696.000000	1.942367	0.000608
1698.000000	1.942329	0.000607
